lat,long
-16.6706159583,13.48834562
-16.6659979412,13.4883763217
-16.6844382698,13.4837337841
-16.6798203741,13.4837647298
-16.6752024668,13.4837955906
-16.670584548,13.4838263665
-16.6659666176,13.4838570576
-16.6936421931,13.4791524378
-16.6890244074,13.4791835423
-16.6844066109,13.4792145621
-16.6797888019,13.479245497
-16.6751709813,13.4792763471
-16.6705531492,13.4793071123
-16.6659353056,13.4793377928
-16.6613174505,13.4793683884
-16.69822806,13.4746020561
-16.6936103726,13.4746332347
-16.6889926735,13.4746643285
-16.6843749637,13.4746953374
-16.6797572413,13.4747262616
-16.6751395074,13.474757101
-16.6705217619,13.4747878555
-16.665904005,13.4748185253
-16.6612862365,13.4748491103
-16.6566684576,13.4748796104
-16.6520506663,13.4749100257
-16.6474328636,13.4749403563
-16.6428150496,13.474970602
-16.6381972242,13.4750007629
-16.6197258112,13.4751205585
-16.6151079297,13.4751502953
-16.6104900371,13.4751799474
-16.7028137536,13.4700516097
-16.6981961645,13.4700828622
-16.6935785637,13.47011403
-16.6889609512,13.4701451129
-16.684343328,13.4701761111
-16.6797256923,13.4702070245
-16.675108045,13.4702378532
-16.6704903862,13.470268597
-16.6658727159,13.4702992561
-16.661255034,13.4703298305
-16.6566373417,13.47036032
-16.6520196371,13.4703907248
-16.647401921,13.4704210448
-16.6427841936,13.47045128
-16.6381664549,13.4704814304
-16.6335487049,13.4705114961
-16.6289309437,13.4705414769
-16.6243131721,13.470571373
-16.6196953884,13.4706011843
-16.6150775936,13.4706309108
-16.6104597877,13.4706605526
-16.6058419706,13.4706901095
-16.6012241425,13.4707195817
-16.7073992739,13.4655010986
-16.7027817832,13.465532425
-16.6981642806,13.4655636666
-16.6935467664,13.4655948235
-16.6889292406,13.4656258957
-16.684311704,13.4656568831
-16.6796941548,13.4656877857
-16.6750765942,13.4657186037
-16.6704590219,13.4657493369
-16.6658414382,13.4657799853
-16.661223843,13.465810549
-16.6566062373,13.4658410279
-16.6519886192,13.4658714221
-16.6473709898,13.4659017316
-16.642753349,13.4659319563
-16.6381356969,13.4659620962
-16.6335180335,13.4659921514
-16.6289003589,13.4660221219
-16.6242826739,13.4660520076
-16.6196649769,13.4660818085
-16.6150472687,13.4661115247
-16.6104295493,13.4661411561
-16.6058118189,13.4661707028
-16.6011940774,13.4662001647
-16.5965763249,13.4662295418
-16.7119846212,13.4609505229
-16.7073672287,13.4609819231
-16.7027498245,13.4610132385
-16.6981324085,13.4610444693
-16.6935149809,13.4610756154
-16.6888975415,13.4611066767
-16.6842800915,13.4611376533
-16.679662629,13.4611685453
-16.6750451549,13.4611993525
-16.6704276692,13.461230075
-16.665810172,13.4612607128
-16.6611926634,13.4612912658
-16.6565751442,13.4613217342
-16.6519576128,13.4613521178
-16.6473400699,13.4613824167
-16.6427225157,13.4614126309
-16.6381049501,13.4614427603
-16.6334873733,13.4614728051
-16.6288697853,13.4615027651
-16.6242521869,13.4615326404
-16.6196345764,13.461562431
-16.6150169548,13.4615921368
-16.6103993221,13.4616217579
-16.6057816782,13.4616512943
-16.6011640233,13.461680746
-16.5965463574,13.4617101129
-16.5919286814,13.4617393951
-16.5873109935,13.4617685926
-16.5826932946,13.4617977053
-16.5780755849,13.4618267333
-16.7165697953,13.4563998826
-16.7119525011,13.4564313566
-16.7073351952,13.4564627458
-16.7027178775,13.4564940504
-16.6981005481,13.4565252703
-16.693483207,13.4565564055
-16.6888658542,13.4565874561
-16.6842484907,13.4566184219
-16.6796311147,13.4566493031
-16.6750137271,13.4566800996
-16.670396328,13.4567108114
-16.6657789173,13.4567414385
-16.6611614952,13.456771981
-16.6565440626,13.4568024387
-16.6519266177,13.4568328117
-16.6473091614,13.4568631001
-16.6426916937,13.4568933038
-16.6380742147,13.4569234228
-16.6334567244,13.4569534571
-16.6288392229,13.4569834067
-16.6242217111,13.4570132716
-16.6196041872,13.4570430518
-16.6149866521,13.4570727473
-16.6103691059,13.4571023581
-16.6057515486,13.4571318842
-16.6011339802,13.4571613256
-16.5965164009,13.4571906823
-16.5918988114,13.4572199543
-16.5872812101,13.4572491416
-16.5826635978,13.4572782442
-16.5780459746,13.4573072621
-16.5734283405,13.4573361953
-16.5688106957,13.4573650438
-16.7211547955,13.4518491779
-16.7165376005,13.4518807256
-16.7119203929,13.4519121886
-16.7073031735,13.4519435669
-16.7026859423,13.4519748606
-16.6980686993,13.4520060696
-16.6934514447,13.452037194
-16.6888341784,13.4520682337
-16.6842169014,13.4520991888
-16.6795996119,13.4521300592
-16.6749823108,13.452160845
-16.6703649982,13.4521915461
-16.6657476741,13.4522221626
-16.6611303385,13.4522526944
-16.6565129924,13.4522831415
-16.651895634,13.452313504
-16.6472782642,13.4523437818
-16.642660883,13.452373975
-16.6380434905,13.4524040835
-16.6334260868,13.4524341073
-16.6288086718,13.4524640465
-16.6241912465,13.452493901
-16.6195738091,13.4525236709
-16.6149563605,13.452553356
-16.6103389008,13.4525829565
-16.60572143,13.4526124724
-16.6011039482,13.4526419035
-16.5964864553,13.45267125
-16.5918689524,13.4527005119
-16.5872514376,13.452729689
-16.5826339118,13.4527587815
-16.5780163752,13.4527877893
-16.5733988277,13.4528167124
-16.5687812693,13.4528455509
-16.7211225261,13.4473300311
-16.7165054176,13.4473615677
-16.7118882965,13.4473930198
-16.7072711635,13.4474243872
-16.7026540187,13.44745567
-16.6980368623,13.4474868681
-16.6934196941,13.4475179817
-16.6888025143,13.4475490106
-16.6841853238,13.4475799549
-16.6795681208,13.4476108146
-16.6749509062,13.4476415896
-16.67033368,13.4476722801
-16.6657164424,13.4477028859
-16.6610991933,13.4477334071
-16.6564819336,13.4477638436
-16.6518646617,13.4477941955
-16.6472473783,13.4478244628
-16.6426300836,13.4478546454
-16.6380127776,13.4478847435
-16.6333954604,13.4479147568
-16.6287781319,13.4479446856
-16.624160793,13.4479745297
-16.6195434421,13.4480042892
-16.61492608,13.448033964
-16.6103087068,13.4480635542
-16.6056913225,13.4480930598
-16.6010739272,13.4481224807
-16.5964565208,13.448151817
-16.5918391044,13.4481810686
-16.587221676,13.4482102356
-16.5826042368,13.448239318
-16.5779867866,13.4482683157
-16.5733693256,13.4482972287
-16.5687518537,13.4483260571
-16.7257072797,13.4427792714
-16.7210902686,13.4428108816
-16.7164732466,13.4428424073
-16.7118562118,13.4428738484
-16.7072391653,13.4429052048
-16.702622107,13.4429364767
-16.6980050369,13.442967664
-16.6933879552,13.4429987668
-16.6887708618,13.4430297849
-16.6841537578,13.4430607184
-16.6795366412,13.4430915673
-16.674919513,13.4431223317
-16.6703023733,13.4431530114
-16.6656852221,13.4431836066
-16.6610680594,13.4432141171
-16.6564508862,13.4432445431
-16.6518337007,13.4432748844
-16.6472165038,13.4433051411
-16.6425992956,13.4433353133
-16.637982076,13.4433654008
-16.6333648452,13.4433954038
-16.6287476031,13.4434253221
-16.6241303508,13.4434551558
-16.6195130863,13.4434849049
-16.6148958107,13.4435145694
-16.6102785239,13.4435441493
-16.6056612261,13.4435736446
-16.6010439172,13.4436030553
-16.5964265973,13.4436323813
-16.5825745726,13.4437198518
-16.5779572089,13.4437488394
-16.5733398344,13.4437777424
-16.568722449,13.4438065608
-16.7256749476,13.4382601312
-16.7210580229,13.4382917305
-16.7164410873,13.4383232451
-16.7118241389,13.4383546753
-16.7072071788,13.4383860208
-16.7025902069,13.4384172818
-16.6979732233,13.4384484583
-16.693356228,13.4384795502
-16.688739221,13.4385105575
-16.6841222033,13.4385414802
-16.6795051731,13.4385723184
-16.6748881314,13.438603072
-16.6702710781,13.4386337411
-16.6656540133,13.4386643256
-16.661036937,13.4386948255
-16.6564198502,13.4387252408
-16.6518027511,13.4387555716
-16.6471856407,13.4387858178
-16.6425685188,13.4388159794
-16.6379513857,13.4388460565
-16.6333342413,13.438876049
-16.6287170857,13.4389059569
-16.6240999197,13.4389357802
-16.6194827417,13.438965519
-16.6148655525,13.4389951731
-16.6102483521,13.4390247427
-16.573310354,13.4392582545
-16.7302594538,13.4337093166
-16.7256426274,13.4337409894
-16.7210257891,13.4337725776
-16.7164089398,13.4338040813
-16.7117920778,13.4338355005
-16.7071752041,13.4338668351
-16.7025583185,13.4338980852
-16.6979414213,13.4339292508
-16.6933245124,13.4339603319
-16.6887075918,13.4339913284
-16.6840906605,13.4340222403
-16.6794737166,13.4340530678
-16.6748567613,13.4340838107
-16.6702397943,13.4341144691
-16.6656228159,13.4341450429
-16.6610058261,13.4341755322
-16.6563888257,13.4342059369
-16.6517718129,13.4342362571
-16.6471547888,13.4342664928
-16.6425377534,13.4342966439
-16.6379207067,13.4343267105
-16.6333036486,13.4343566925
-16.6286865794,13.43438659
-16.6240694998,13.4344164029
-16.6194524082,13.4344461313
-16.6148353053,13.4344757751
-16.6102181914,13.4345053344
-16.7302270592,13.4291901841
-16.7256103191,13.4292218458
-16.7209935671,13.4292534231
-16.7163768042,13.4292849158
-16.7117600285,13.429316324
-16.7071432411,13.4293476477
-16.7025264419,13.4293788869
-16.697909631,13.4294100416
-16.6932928084,13.4294411119
-16.6886759742,13.4294720976
-16.6840591292,13.4295029988
-16.6794422717,13.4295338155
-16.6748254027,13.4295645476
-16.6702085221,13.4295951953
-16.6655916301,13.4296257585
-16.6609747265,13.4296562372
-16.6563578125,13.4296866313
-16.6517408861,13.4297169409
-16.6471239484,13.4297471661
-16.6425069993,13.4297773067
-16.6378900389,13.4298073628
-16.6332730672,13.4298373344
-16.6286560843,13.4298672214
-16.6240390911,13.429897024
-16.6194220858,13.429926742
-16.6148050694,13.4299563755
-16.7348113184,13.4246393148
-16.7301946765,13.4246710499
-16.7255780227,13.4247027006
-16.720961357,13.4247342668
-16.7163446804,13.4247657485
-16.711727991,13.4247971458
-16.7071112899,13.4248284586
-16.702494577,13.4248596869
-16.6978778524,13.4248908308
-16.6932611161,13.4249218902
-16.6886443682,13.4249528651
-16.6840276095,13.4249837555
-16.6794108384,13.4250145615
-16.6747940557,13.4250452829
-16.6701772614,13.4250759199
-16.6655604556,13.4251064724
-16.6609436384,13.4251369405
-16.6563268107,13.425167324
-16.6517099707,13.4251976231
-16.6470931192,13.4252278377
-16.6424762565,13.4252579678
-16.6378593824,13.4252880134
-16.6332424971,13.4253179745
-16.6286256005,13.4253478512
-16.6240086936,13.4253776433
-16.6193917746,13.425407351
-16.6147748445,13.4254369741
-16.7347788613,13.42012019
-16.7301623057,13.420151914
-16.7255457381,13.4201835537
-16.7209291587,13.4202151089
-16.7163125684,13.4202465796
-16.7116959653,13.4202779659
-16.7070793504,13.4203092678
-16.7024627238,13.4203404853
-16.6978460855,13.4203716183
-16.6932294355,13.4204026668
-16.6886127738,13.4204336309
-16.6839961015,13.4204645105
-16.6793794166,13.4204953058
-16.6747627201,13.4205260165
-16.6701460122,13.4205566428
-16.6655292927,13.4205871847
-16.6609125618,13.4206176421
-16.6562958203,13.420648015
-16.6516790666,13.4206783035
-16.6470623014,13.4207085076
-16.642445525,13.4207386272
-16.6378287372,13.4207686623
-16.6332119381,13.420798613
-16.6285951278,13.4208284792
-16.6239783072,13.420858261
-16.6193614746,13.4208879583
-16.6147446307,13.4209175711
-16.7393628736,13.4155692669
-16.7347464162,13.4156010644
-16.7301299468,13.4156327774
-16.7255134655,13.415664406
-16.7208969723,13.4156959502
-16.7162804682,13.4157274099
-16.7116639514,13.4157587853
-16.7070474227,13.4157900763
-16.7024308824,13.4158212828
-16.6978143303,13.4158524049
-16.6931977665,13.4158834426
-16.6885811911,13.4159143959
-16.683964605,13.4159452648
-16.6793480064,13.4159760493
-16.6747313962,13.4160067493
-16.6701147745,13.4160373649
-16.6654981412,13.4160678961
-16.6608814966,13.4160983429
-16.6562648414,13.4161287053
-16.6516481739,13.4161589832
-16.647031495,13.4161891767
-16.6424148048,13.4162192858
-16.6377981032,13.4162493104
-16.6331813904,13.4162792507
-16.6285646664,13.4163091065
-16.6239479321,13.4163388778
-16.6193311857,13.4163685648
-16.6147144281,13.4163981673
-16.6100976594,13.4164276854
-16.7393303542,13.4110501498
-16.7347139829,13.4110819362
-16.7300975998,13.4111136381
-16.7254812047,13.4111452557
-16.7208647977,13.4111767888
-16.7162483798,13.4112082376
-16.7116319492,13.411239602
-16.7070155068,13.4112708821
-16.7023990526,13.4113020777
-16.6977825868,13.411333189
-16.6931661092,13.4113642159
-16.68854962,13.4113951584
-16.6839331201,13.4114260165
-16.6793166077,13.4114567902
-16.6747000837,13.4114874795
-16.6700835482,13.4115180845
-16.6654670012,13.411548605
-16.6608504428,13.4115790412
-16.6562338738,13.4116093929
-16.6516172925,13.4116396603
-16.6470006999,13.4116698433
-16.6423840959,13.4116999418
-16.6377674806,13.411729956
-16.633150854,13.4117598858
-16.6285342162,13.4117897312
-16.6239175681,13.4118194921
-16.6193009079,13.4118491687
-16.6146842366,13.4118787609
-16.6100675541,13.4119082687
-16.6054508606,13.411937692
-16.600834156,13.411967031
-16.7439141199,13.4064991715
-16.7392978468,13.406531031
-16.7346815617,13.4065628063
-16.7300652647,13.4065944971
-16.7254489558,13.4066261037
-16.720832635,13.4066576258
-16.7162163032,13.4066890636
-16.7115999588,13.4067204171
-16.7069836026,13.4067516862
-16.7023672346,13.406782871
-16.6977508549,13.4068139714
-16.6931344636,13.4068449874
-16.6885180605,13.4068759191
-16.6839016468,13.4069067665
-16.6792852206,13.4069375294
-16.6746687828,13.406968208
-16.6700523335,13.4069988023
-16.6654358727,13.4070293122
-16.6608194004,13.4070597377
-16.6562029176,13.4070900789
-16.6515864225,13.4071203357
-16.6469699161,13.4071505081
-16.6423533983,13.4071805962
-16.6377368692,13.4072105999
-16.6331203288,13.4072405192
-16.6285037772,13.4072703542
-16.6238872153,13.4073001047
-16.6192706413,13.407329771
-16.6146540562,13.4073593528
-16.6100374599,13.4073888503
-16.6054208526,13.4074182634
-16.6008042342,13.4074475921
-16.5961876048,13.4074768364
-16.7484977132,13.4019481294
-16.7438815382,13.4019800621
-16.7392653513,13.4020119106
-16.7346491523,13.4020436747
-16.7300329415,13.4020753545
-16.7254167187,13.40210695
-16.7208004841,13.4021384611
-16.7161842385,13.402169888
-16.7115679802,13.4022012305
-16.7069517101,13.4022324887
-16.7023354283,13.4022636625
-16.6977191348,13.4022947521
-16.6931028295,13.4023257573
-16.6884865127,13.4023566782
-16.6838701851,13.4023875147
-16.679253845,13.402418267
-16.6746374934,13.4024489349
-16.6700211302,13.4024795184
-16.6654047556,13.4025100177
-16.6607883695,13.4025404326
-16.6561719729,13.4025707631
-16.6515555639,13.4026010094
-16.6469391436,13.4026311713
-16.642322712,13.4026612488
-16.637706269,13.4026912421
-16.6330898148,13.4027211509
-16.6284733494,13.4027509755
-16.6238568737,13.4027807157
-16.6192403858,13.4028103715
-16.6146238869,13.402839943
-16.6100073768,13.4028694302
-16.6053908556,13.402898833
-16.6007743234,13.4029281515
-16.5961577802,13.4029573857
-16.7530811334,13.3973970236
-16.7484650575,13.3974290295
-16.7438489686,13.3974609511
-16.7392328678,13.3974927884
-16.734616755,13.3975245414
-16.7300006302,13.3975562101
-16.7253844935,13.3975877946
-16.720768345,13.3976192947
-16.7161521855,13.3976507106
-16.7115360134,13.3976820422
-16.7069198294,13.3977132894
-16.7023036337,13.3977444524
-16.6976874263,13.3977755311
-16.6930712072,13.3978065255
-16.6884549764,13.3978374356
-16.683838735,13.3978682613
-16.679222481,13.3978990028
-16.6746062155,13.39792966
-16.6699899385,13.3979602329
-16.66537365,13.3979907215
-16.66075735,13.3980211258
-16.6561410395,13.3980514457
-16.6515247167,13.3980816814
-16.6469083825,13.3981118328
-16.642292037,13.3981418998
-16.6376756802,13.3981718826
-16.6330593121,13.398201781
-16.6284429328,13.3982315951
-16.6238265432,13.3982613249
-16.6192101415,13.3982909704
-16.6145937287,13.3983205316
-16.6099773047,13.3983500085
-16.6053608697,13.398379401
-16.6007444236,13.3984087093
-16.5961279665,13.3984379332
-16.5915114994,13.3984670728
-16.7622803489,13.392813691
-16.7576643823,13.3928458542
-16.7530484036,13.3928779332
-16.7484324138,13.3929099279
-16.743816411,13.3929418383
-16.7392003962,13.3929736645
-16.7345843695,13.3930054064
-16.7299683308,13.3930370641
-16.7253522802,13.3930686375
-16.7207362178,13.3931001266
-16.7161201444,13.3931315315
-16.7115040583,13.3931628521
-16.7068879604,13.3931940885
-16.7022718508,13.3932252406
-16.6976557295,13.3932563084
-16.6930395965,13.393287292
-16.6884234518,13.3933181913
-16.6838072964,13.3933490063
-16.6791911286,13.393379737
-16.6745749492,13.3934103835
-16.6699587582,13.3934409457
-16.6653425558,13.3934714236
-16.6607263419,13.3935018173
-16.6561101175,13.3935321266
-16.6514938808,13.3935623517
-16.6468776327,13.3935924926
-16.6422613733,13.3936225491
-16.6376451026,13.3936525214
-16.6330288206,13.3936824094
-16.6284125274,13.3937122131
-16.6237962239,13.3937419325
-16.6191799083,13.3937715676
-16.6145635816,13.3938011185
-16.6099472437,13.393830585
-16.6053308948,13.3938599673
-16.6007145349,13.3938892653
-16.5960981639,13.393918479
-16.5914817828,13.3939476084
-16.7668633276,13.3882623851
-16.7622474591,13.3882946213
-16.7576315786,13.3883267733
-16.7530156859,13.3883588411
-16.7483997822,13.3883908246
-16.7437838654,13.3884227239
-16.7391679367,13.3884545389
-16.734551996,13.3884862698
-16.7299360433,13.3885179164
-16.7253200788,13.3885494787
-16.7207041024,13.3885809569
-16.7160881151,13.3886123508
-16.711472115,13.3886436605
-16.7068561032,13.3886748859
-16.7022400796,13.3887060271
-16.6976240444,13.3887370841
-16.6930079974,13.3887680568
-16.6883919388,13.3887989453
-16.6837758695,13.3888297495
-16.6791597877,13.3888604695
-16.6745436943,13.3888911053
-16.6699275894,13.3889216568
-16.6653114731,13.3889521241
-16.6606953452,13.3889825071
-16.6560792069,13.3890128059
-16.6514630563,13.3890430204
-16.6468468943,13.3890731507
-16.6422307209,13.3891031967
-16.6376145363,13.3891331585
-16.6329983404,13.389163036
-16.6283821332,13.3891928293
-16.6237659158,13.3892225384
-16.6191496863,13.3892521631
-16.6145334456,13.3892817037
-16.6099171938,13.3893111599
-16.605300931,13.3893405319
-16.6006846571,13.3893698197
-16.5960683722,13.3893990232
-16.5914520772,13.3894281424
-16.7760618923,13.3836786236
-16.7714461342,13.3837110169
-16.7668303639,13.383743326
-16.7622145815,13.3837755509
-16.7575987869,13.3838076916
-16.7529829803,13.3838397482
-16.7483671625,13.3838717205
-16.7437513318,13.3839036086
-16.7391354891,13.3839354126
-16.7345196344,13.3839671323
-16.7299037678,13.3839987679
-16.7252878893,13.3840303192
-16.7206719989,13.3840617863
-16.7160560976,13.3840931692
-16.7114401835,13.384124468
-16.7068242577,13.3841556825
-16.7022083202,13.3841868128
-16.6975923709,13.3842178589
-16.69297641,13.3842488208
-16.6883604374,13.3842796985
-16.6837444541,13.3843104919
-16.6791284584,13.3843412012
-16.674512451,13.3843718263
-16.6698964322,13.3844023671
-16.6652804018,13.3844328237
-16.66066436,13.3844631961
-16.6560483077,13.3844934843
-16.6514322431,13.3845236883
-16.6468161671,13.384553808
-16.6422000798,13.3845838436
-16.6375839812,13.3846137949
-16.6329678714,13.384643662
-16.6283517502,13.3846734448
-16.6237356189,13.3847031435
-16.6191194754,13.3847327579
-16.6145033208,13.3847622881
-16.609887155,13.3847917341
-16.6052709782,13.3848210958
-16.6006547904,13.3848503733
-16.5960385915,13.3848795666
-16.5914223826,13.3849086756
-16.5868061618,13.3849377005
-16.7944913339,13.3790292149
-16.7898757108,13.3790619335
-16.7852600754,13.379094568
-16.7806444287,13.3791271183
-16.7760287688,13.3791595844
-16.7714130967,13.3791919664
-16.7667974124,13.3792242642
-16.762181716,13.3792564779
-16.7575660074,13.3792886074
-16.7529502867,13.3793206527
-16.7483345549,13.3793526138
-16.7437188102,13.3793844908
-16.7391030534,13.3794162836
-16.7344872847,13.3794479923
-16.7298715041,13.3794796167
-16.7252557116,13.379511157
-16.7206399072,13.3795426132
-16.7160240918,13.3795739851
-16.7114082638,13.3796052729
-16.706792424,13.3796364765
-16.7021765724,13.3796675959
-16.6975607092,13.3796986312
-16.6929448342,13.3797295822
-16.6883289476,13.3797604491
-16.6837130504,13.3797912318
-16.6790971406,13.3798219303
-16.6744812192,13.3798525447
-16.6698652864,13.3798830748
-16.665249342,13.3799135208
-16.6606333862,13.3799438826
-16.6560174199,13.3799741602
-16.6514014413,13.3800043536
-16.6467854513,13.3800344628
-16.64216945,13.3800644878
-16.6375534374,13.3800944286
-16.6329374136,13.3801242853
-16.6283213785,13.3801540577
-16.6237053331,13.380183746
-16.6190892756,13.3802133501
-16.614473207,13.3802428699
-16.6098571273,13.3802723056
-16.6052410365,13.3803016571
-16.6006249347,13.3803309243
-16.5960088218,13.3803601074
-16.5913926989,13.3803892063
-16.5867765641,13.3804182209
-16.5821604185,13.3804471514
-16.7944578789,13.3745102197
-16.7898423417,13.3745429269
-16.7852267923,13.3745755499
-16.7806112315,13.3746080888
-16.7759956576,13.3746405436
-16.7713800714,13.3746729143
-16.7667644731,13.3747052008
-16.7621488625,13.3747374032
-16.7575332399,13.3747695214
-16.7529176052,13.3748015555
-16.7483019594,13.3748335055
