ID,Name,Latitude,Longitude,Ground surface elevation,DepthToGroundwater,Curvatu_tif2,Drainage_density,Slope_tif2,Hydrogeo,NASADEM_HGT
0000058001,Yoro Beri Kunda,13.4984817969726,-14.7573025092349,17.4,0-7,-1296000000.0,88.64712524414062,3.281345844268799,3.0,18.0
0000035001,Pakaliba,13.5172450917462,-15.242125038732,13.34,0-7,3888000000.0,99.22616577148438,3.667654514312744,3.0,17.0
0000024001,Somita,13.2089634495222,-16.2989315774497,27.31,0-7,2592000000.0,91.1672134399414,0.656958818435669,5.0,33.0
0000023001,Taneneh,13.2330569152907,-16.5047276118478,14.32,0-7,7776000000.0,61.539432525634766,2.5001461505889893,5.0,18.0
0000020007,Mandinari OB3,13.362761,-16.637219,30.47,7-25,-0.0,49.994441986083984,1.7684314250946045,5.0,33.0
0000020006,Kerewan OB5,13.3608101076666,-16.625421,23.47,7-25,-0.0,51.5295295715332,1.1842325925827026,5.0,14.0
0000022001,Baffuloto OB4,13.3299965083864,-16.6587771128152,28.62,0-7,-5184000000.0,69.56710815429688,3.281345844268799,5.0,23.0
0000020005,Sinchu Sore OB1,13.3847523742244,-16.6797212636949,25.57,7-25,2592000000.0,58.6795539855957,0.9290392994880676,5.0,28.0
0000020009,Wellingara  EX1,13.3949162854657,-16.664077,20.48,0-7,2592000000.0,92.5710678100586,0.9853842258453368,5.0,25.0
0000000001,Bijilo OB6,13.4208039,-16.716666,19.47,0-7,-6480000000.0,57.568843841552734,2.7851665019989014,5.0,25.0
NWP45001,Farafenni,13.5833985686072,-15.5814345809414,14.34,25-50,-1296000000.0,93.69303131103516,1.4687471389770508,3.0,14.0
NWP22002,Brikama OB1,13.302783,-16.65972,25.64,7-25,3888000000.0,48.3131217956543,4.312499046325684,5.0,41.0
NWP50001,Ballanghar,13.6710948906584,-15.3988131430328,14.44,25-50,-7776000000.0,69.14108276367188,1.1842325925827026,3.0,17.0
NWP54002,Kerr Sait Maram,13.6344360305248,-14.8271163457013,18.39,25-50,2592000000.0,87.87499237060547,4.003250598907471,3.0,22.0
NWP20008,Mariama Kunda JO1,13.385648,-16.64671,14.84,0-7,-3888000000.0,77.43901824951172,1.9973403215408323,5.0,19.0
NWP20003,Mariama Kunda OB2,13.358333,-16.726389,15.47,0-7,3888000000.0,84.81668853759766,0.4645501971244812,,19.0
NWP62001,Brifu,13.50515436634058,-13.9373833348597,20.35,25-50,1296000000.0,112.75115203857422,1.3934063911437988,3.0,18.0
NWP61001,Kantele Kunda,13.3980614120398,-13.8742538739228,49.4,0-7,5184000000.0,110.63873291015624,1.9973403215408323,3.0,18.0
NWP60001,Mansajang Kunda,13.29635905130469,-14.204223870467,19.34,0-7,-9072000000.0,94.91595458984376,2.32153058052063,3.0,16.0
NWP58002,Santanto Bubu,13.36180451581788,-14.5608362772974,40.39,0-7,-5184000000.0,115.05143737792967,2.102442502975464,3.0,40.0
NWP58001,Yoro Beri Kunda,13.4984818,-14.7573025,17.4,0-7,-1296000000.0,88.64712524414062,3.281345844268799,3.0,18.0
NWP58011,Denton Boiram,13.50524383718899,-14.9272670700342,13.45,25-50,5184000000.0,108.4712905883789,0.7344942092895508,3.0,22.0
NWP35001,Pakaliba,13.5172450917462,-15.242125038732,13.34,0-7,3888000000.0,99.22616577148438,3.667654514312744,3.0,17.0
NWP33001,Karantaba,13.4413165456322,-15.51794086557469,27.39,25-50,-2592000000.0,61.61677169799805,1.9147183895111084,3.0,23.0
NWP31001,Kwinella,13.39610557899178,-15.7933413454468,18.32,25-50,1296000000.0,69.49993896484375,3.113298177719116,3.0,29.0
NWP27001,Mayork,13.22752284786961,-15.957014970713,22.38,7-25,6480000000.0,62.69460678100586,1.3541624546051023,3.0,29.0
NWP21002,Niofelleh O5,13.2402809,-16.7138891,21.68,7-25,-1296000000.0,69.20146942138672,2.32153058052063,5.0,25.0
NWP22003,Brikama O6A,13.30277368516689,-16.659717,27.56,7-25,3888000000.0,48.09586715698242,4.312499046325684,5.0,41.0
NWP22001,Baffuloto OB4,13.3299965,-16.6587771,28.62,0-7,-5184000000.0,69.56710815429688,3.281345844268799,5.0,23.0
NWP20004,Wellingara EX5,13.39594387212938,-16.6740837455996,22.56,0-7,-0.0,60.02045440673828,2.29822325706482,5.0,22.0
NWP20023,Jambur JO2,13.3305867518767,-16.7074159260369,24.73,0-7,-3888000000.0,108.1054229736328,1.9973403215408323,5.0,22.0
NWP20025,Jambur OB3,13.32958160853759,-16.7049997,27.56,0-7,-1296000000.0,109.47606658935548,1.6745193004608154,5.0,25.0
NWP20002,Brufut OB7,13.39566517731999,-16.7433273178684,17.53,0-7,-0.0,41.55162811279297,2.5001461505889893,,17.0
NWP00001,Bijilo OB6,13.42080389502958,-16.716666,19.47,0-7,-6480000000.0,57.568843841552734,2.7851665019989014,5.0,25.0
NWP13001,Fajara TB8,13.46607878570081,-16.6927180557435,19.82,0-7,-0.0,32.400184631347656,0.656958818435669,5.0,15.0
NWP20009,Wellingara EX1,13.3949163,-16.664077,20.48,0-7,2592000000.0,92.5710678100586,0.9853842258453368,5.0,25.0
NWP20007,Mandinari OB3,13.362761,-16.637219,30.47,7-25,-0.0,49.994441986083984,1.7684314250946045,5.0,33.0
NWP20024,Jambur Medina JO3,13.317777,-16.68056,29.9,7-25,-0.0,79.9999008178711,2.5001461505889893,5.0,26.0
NWP40001,Ndungu Kebbeh,13.53768898834499,-16.3145439391254,26.37,25-50,6480000000.0,77.74502563476562,1.6745193004608154,3.0,31.0
NWP43001,Gunjur,13.52594141368379,-16.02751343777,19.43,25-50,-0.0,105.9289321899414,0.7344942092895508,3.0,16.0
NWP51001,Kerr Modi Ali,13.7477866874478,-15.2308252132835,16.39,25-50,2592000000.0,112.17292785644533,0.4645501971244812,3.0,23.0
NWP54001,Tabanani,13.6305918,-14.58784,33.35,25-50,-7776000000.0,93.28510284423828,2.32153058052063,3.0,34.0
NWP62002,Yorobawol,13.4252721,-14.2060734,36.35,0-7,-10368000000.0,56.687129974365234,2.3900835514068604,3.0,34.0
NWP24001,Somita,13.20896344952219,-16.2989315774497,27.31,0-7,2592000000.0,91.1672134399414,0.656958818435669,5.0,33.0
NWP23001,Taneneh,13.2330569,-16.5047276,14.32,0-7,7776000000.0,61.539432525634766,2.5001461505889893,5.0,18.0
NWP20006,Kerewan OB5,13.36081010766659,-16.625421,23.47,7-25,-0.0,51.5295295715332,1.1842325925827026,5.0,14.0
NWP20005,Sinchu Sore OB1,13.38475237422439,-16.6797212636949,25.57,7-25,2592000000.0,58.6795539855957,0.9290392994880676,5.0,28.0
